Column1;Column2
Was ist eine Virtual Environment in Python und wofür wird sie verwendet?;Eine isolierte Python-Umgebung, die es ermöglicht, Projektabhängigkeiten getrennt zu verwalten, um Konflikte zu vermeiden.
Wie erstellt man eine Virtual Environment mit `venv`?;`python -m venv myenv`
Wie aktiviert man eine Virtual Environment unter Linux/macOS?;`source myenv/bin/activate`
Wie installiert man ein Paket in einer Virtual Environment?;`pip install package_name`
Was ist der Zweck der `requirements.txt` Datei?;Listet alle Pakete und deren Versionen auf, die ein Projekt benötigt, um reproduzierbare Umgebungen zu schaffen.
Wie generiert man eine `requirements.txt` Datei aus der aktuellen Umgebung?;`pip freeze > requirements.txt`
Wie installiert man Pakete aus einer `requirements.txt` Datei?;`pip install -r requirements.txt`
"Was ist ein ""Linter"" (z.B. Flake8) und wofür ist er gut?";Ein Tool, das Code statisch analysiert, um Stilprobleme, potenzielle Fehler und Best-Practice-Verletzungen zu erkennen.
Warum ist PEP 8 wichtig?;Die offizielle Stilrichtlinie für Python-Code, die zu lesbarerem und konsistenterem Code beiträgt.
Was ist Unit Testing und warum ist es wichtig?;Das Testen einzelner, kleinster Code-Einheiten (Funktionen, Methoden), um sicherzustellen, dass sie korrekt funktionieren. Wichtig für Code-Qualität und Refactoring.
Wie verwendet man das `unittest`-Modul zum Schreiben von Tests?;Erstellt Klassen, die von `unittest.TestCase` erben, und definiert Testmethoden, die mit `test_` beginnen.
Was ist der Zweck des `logging`-Moduls?;Bietet ein flexibles Framework zur Ausgabe von Statusmeldungen, Warnungen und Fehlern während der Programmausführung.
Nenne die 5 Logging-Level in aufsteigender Reihenfolge der Schwere.;`DEBUG`, `INFO`, `WARNING`, `ERROR`, `CRITICAL`.
Wie loggt man eine Informationsnachricht?;"`import logging;  logging.info('Dies ist eine Information.')`"
Was ist eine rekursive Funktion?;Eine Funktion, die sich selbst aufruft, um ein Problem zu lösen.
Gib ein Beispiel für eine rekursive Funktion zur Berechnung der Fakultät.;`def factorial(n): if n == 0: return 1 else: return n * factorial(n-1)`
Wann kann Rekursion problematisch sein?;Bei tiefen Rekursionen kann ein `RecursionError` auftreten (Stack Overflow).
Was ist Caching in Python und wann wäre es nützlich?;Speichern des Ergebnisses eines Funktionsaufrufs, um es bei zukünftigen Aufrufen mit denselben Argumenten wiederzuverwenden. Nützlich für rechenintensive Funktionen.
Wie kann man eine Funktion mit `functools.lru_cache` cachen?;"`from functools import lru_cache;  @lru_cache(maxsize=None) def my_expensive_function(...):`"
Was ist der Zweck von `*args` und `**kwargs` in einer Funktionssignatur?;"`*args` sammelt beliebig viele positionale Argumente in einem Tupel;  `**kwargs` sammelt beliebig viele Schlüsselwortargumente in einem Dictionary."
Was ist eine Lambda-Funktion?;Eine kleine, anonyme Funktion, die nur einen Ausdruck enthalten kann.
Gib ein Beispiel für eine Lambda-Funktion, die zwei Zahlen addiert.;`add = lambda x, y: x + y`
Wann würde man eine Lambda-Funktion verwenden?;Für einfache, kurzlebige Funktionen, oft als Argumente für `map()`, `filter()`, `sort()`.
Wie verwendet man `map()` mit einer Funktion und einer Liste?;`list(map(function, list_of_items))`
Wie verwendet man `filter()` mit einer Funktion und einer Liste?;`list(filter(function, list_of_items))`
Was ist der Global Interpreter Lock (GIL) in CPython?;Ein Mechanismus, der sicherstellt, dass zu jedem Zeitpunkt nur ein Thread Python-Bytecode ausführt, auch auf Multi-Core-CPUs.
Welche Auswirkungen hat der GIL auf Multithreading in Python?;Beschränkt die echte Parallelität für CPU-gebundene Aufgaben. Für I/O-gebundene Aufgaben ist Multithreading dennoch vorteilhaft.
Welche Alternativen gibt es zum Multithreading für CPU-gebundene Parallelität in Python?;Multiprocessing (verwendet separate Prozesse, um den GIL zu umgehen), oder Bibliotheken, die C-Erweiterungen nutzen (NumPy, Pandas).
Was ist der Zweck des `json`-Moduls?;Zum Enkodieren und Dekodieren von JSON-Daten (JavaScript Object Notation).
Wie serialisiert man ein Python Dictionary `my_dict` in einen JSON-String?;"`import json;  json.dumps(my_dict)`"
Wie deserialisiert man einen JSON-String `json_string` in ein Python Dictionary?;`json.loads(json_string)`
Was ist der Zweck des `csv`-Moduls?;Zum einfachen Lesen und Schreiben von CSV-Dateien.
Wie liest man eine CSV-Datei mit dem `csv`-Modul?;"`import csv;  with open('file.csv', 'r') as f: reader = csv.reader(f);  for row in reader: print(row)`"
Was ist der Zweck des `os`-Moduls?;Bietet Funktionen für die Interaktion mit dem Betriebssystem (Dateisystem, Umgebungsvariablen).
Wie erhält man das aktuelle Arbeitsverzeichnis?;"`import os;  os.getcwd()`"
Wie ändert man das aktuelle Arbeitsverzeichnis?;`os.chdir('/path/to/directory')`
Wie erstellt man ein neues Verzeichnis namens 'my_dir'?;`os.mkdir('my_dir')`
Wie listet man den Inhalt eines Verzeichnisses auf?;`os.listdir('.')`
Was ist der Zweck des `sys`-Moduls?;Bietet Zugriff auf Systemparameter und -funktionen (z.B. Python-Version, Kommandozeilenargumente).
Wie greift man auf Kommandozeilenargumente zu, die einem Python-Skript übergeben wurden?;"`import sys;  sys.argv`"
Was ist der Zweck des `re`-Moduls (Regular Expressions)?;Für komplexe Textmustererkennung und -manipulation.
Wie findet man alle Vorkommen eines Musters 'word' in einem String `text`?;"`import re;  re.findall('word', text)`"
Wie ersetzt man alle Vorkommen von 'old' durch 'new' in einem String `text`?;`re.sub('old', 'new', text)`
"Was ist ein Raw String (z.B. `r""C:\path\to\file""`) und wann ist er nützlich?";Ein String, bei dem Backslashes nicht als Escape-Zeichen interpretiert werden. Besonders nützlich für reguläre Ausdrücke und Windows-Pfade.
Was ist `yfinance` und wofür wird es verwendet?;Eine Bibliothek zum Herunterladen von historischen Finanzdaten von Yahoo! Finance.
"Wie lädt man historische Schlusskurse für ""AAPL"" der letzten 5 Jahre herunter?";"`import yfinance as yf;  ticker = yf.Ticker(""AAPL"");  hist = ticker.history(period=""5y"");  close_prices = hist['Close']`"
Was ist `ARCH` (in `arch`) und wofür ist es relevant?;Eine Python-Bibliothek für ökonometrische Modellierung, insbesondere GARCH-Modelle für Volatilitätsprognosen.
Wann würde man ein GARCH-Modell verwenden?;Zur Modellierung der Zeitabhängigkeit der Volatilität von Finanzzeitreihen (z.B. Aktienrenditen).
Was ist die Bibliothek `statsmodels` und wofür wird sie verwendet?;Eine Bibliothek für statistische Modellierung, ökonometrische Analysen und statistische Tests.
Wie führt man eine OLS (Ordinary Least Squares) Regression mit `statsmodels` durch?;"`import statsmodels.api as sm;  model = sm.OLS(y, X);  results = model.fit()`"
Wie greift man auf die Regressionskoeffizienten aus einem `statsmodels` Ergebnisobjekt zu?;`results.params`
Wie greift man auf den R-Squared-Wert aus einem `statsmodels` Ergebnisobjekt zu?;`results.rsquared`
Welche Arten von Zeitreihenmodellen bietet `statsmodels` (Nenne 2-3 Beispiele)?;ARIMA, SARIMAX, VAR, GARCH.
Was ist eine Monte-Carlo-Simulation und wofür wird sie im Finanzbereich eingesetzt?;Eine Methode, die Zufallszahlen verwendet, um Unsicherheit zu modellieren. Eingesetzt für Optionspreismodelle (Black-Scholes), Risikoanalyse (VaR), Portfoliomanagement.
Wie simuliert man einen einfachen Random Walk in Python?;"`returns = np.random.normal(0, 0.01, num_steps);  prices = initial_price * np.exp(np.cumsum(returns))`"
Was ist das `zipline`-Paket und wofür ist es?;Eine Event-Driven Backtesting-Bibliothek für algorithmischen Handel.
Was ist die Bedeutung von Alpha und Beta im Kontext von Finanzportfolios?;"Alpha ist die risikobereinigte Überrendite im Vergleich zu einem Referenzindex;  Beta ist ein Maß für das systematische Risiko eines Vermögenswerts im Verhältnis zum Gesamtmarkt."
Wie berechnet man die Annualisierte Volatilität aus täglichen Renditen?;"`daily_std = returns.std();  annualized_vol = daily_std * np.sqrt(252)` (Annahme: 252 Handelstage/Jahr)"
Wie berechnet man die Sharpe Ratio eines Portfolios?;`(Portfoliorendite - Risikofreier Zinssatz) / Portfolio-Standardabweichung`
Was ist ein Value at Risk (VaR) und wie kann er in Python berechnet werden?;Eine Schätzung des maximalen Verlustes, den ein Portfolio mit einer bestimmten Wahrscheinlichkeit über einen bestimmten Zeitraum erleiden könnte. Kann historisch, parametrisch oder mittels Monte-Carlo berechnet werden.
Wie kann man eine historische VaR-Schätzung in Python durchführen?;"`sorted_returns = portfolio_returns.sort_values();  var_99 = sorted_returns.quantile(0.01)`"
Was ist der Unterschied zwischen einem statischen und einem dynamischen Portfoliomanagement?;"Statisch: Portfolio wird einmal festgelegt und nicht angepasst;  Dynamisch: Portfolio wird regelmäßig rebalanciert oder angepasst."
Was ist der Zweck des `cvxpy` oder `pyomo` Pakets?;Bibliotheken für konvexe Optimierung, oft verwendet für Portfoliooptimierung, Asset Allocation unter Constraints.
"Was ist ein ""Backtesting"" in Quantitative Finance?";Die Anwendung einer Handelsstrategie auf historische Daten, um ihre potenzielle Leistung zu bewerten.
Was sind einige Herausforderungen beim Backtesting?;Overfitting, Survivorship Bias, Look-ahead Bias, Transaktionskosten, Liquiditätsprobleme.
"Was ist die Bedeutung von ""Slippage"" im Trading?";Der Unterschied zwischen dem erwarteten Preis eines Trades und dem tatsächlichen Preis, zu dem der Trade ausgeführt wird.
"Was ist ""High-Frequency Trading"" (HFT)?";Eine Art von algorithmischem Handel, der sehr kurze Zeiträume nutzt, um von kleinen Preisunterschieden zu profitieren.
Was ist die Bedeutung von `NaN` (Not a Number) in Pandas und NumPy?;Repräsentiert fehlende oder undefinierte numerische Werte.
Wie geht man mit `NaN`-Werten in Zeitreihen um, bevor man Renditen berechnet?;Oft mit `.dropna()` entfernen oder mit `.fillna()` auffüllen (z.B. mit 0 oder dem vorherigen Wert `ffill()`).
"Was ist die Bedeutung von ""Stationarität"" in Zeitreihenanalyse?";Eine Zeitreihe ist stationär, wenn ihre statistischen Eigenschaften (Mittelwert, Varianz, Autokorrelation) über die Zeit konstant sind.
Warum ist Stationarität wichtig für viele ökonometrische Modelle?;Viele Zeitreihenmodelle (z.B. ARIMA) setzen Stationarität voraus, um gültige Inferenz zu ermöglichen.
Wie testet man auf Stationarität (Nenne einen Test)?;Augmented Dickey-Fuller (ADF) Test, Kwiatkowski-Phillips-Schmidt-Shin (KPSS) Test.
Wie differenziert man eine Zeitreihe, um sie stationär zu machen?;`df['Series'].diff().dropna()`
"Was ist ""Cointegration"" und wann ist sie für Quant-Trading relevant?";Wenn zwei oder mehr nicht-stationäre Zeitreihen eine langfristige, stabile Beziehung zueinander haben, sodass ihre lineare Kombination stationär ist. Relevant für Paartrading-Strategien.
Was ist der Zweck des `scikit-learn` Moduls in Bezug auf Machine Learning?;Bietet Werkzeuge für prädiktive Datenanalyse (Klassifikation, Regression, Clustering).
Wie importiert man einen Lineare-Regression-Modell in `scikit-learn`?;`from sklearn.linear_model import LinearRegression`
Wie instanziiert man einen Lineare-Regression-Modell?;`model = LinearRegression()`
Wie trainiert man ein `scikit-learn` Modell mit Trainingsdaten `X_train`, `y_train`?;`model.fit(X_train, y_train)`
Wie macht man Vorhersagen mit einem trainierten `scikit-learn` Modell `model` auf neuen Daten `X_test`?;`predictions = model.predict(X_test)`
Wie teilt man Daten in Trainings- und Testsets auf?;"`from sklearn.model_selection import train_test_split;  X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2, random_state=42)`"
"Was ist ""Overfitting"" in Machine Learning?";Wenn ein Modell zu gut auf die Trainingsdaten passt, aber schlecht auf neue, ungesehene Daten generalisiert.
"Was ist ""Cross-Validation"" und wofür wird es verwendet?";Eine Technik zur Bewertung der Modellleistung und zur Vermeidung von Overfitting, indem der Datensatz in mehrere Trainings- und Validierungssets aufgeteilt wird.
Nenne eine gängige Metrik zur Bewertung von Regressionsmodellen.;Mean Squared Error (MSE), Root Mean Squared Error (RMSE), R-squared.
Nenne eine gängige Metrik zur Bewertung von Klassifikationsmodellen.;Accuracy, Precision, Recall, F1-Score, ROC AUC.
Was ist der Zweck des `numba`-Pakets?;Ein JIT-Compiler (Just-In-Time) für Python, der Python-Code in schnellen Maschinencode umwandelt, oft nützlich für numerische Schleifen.
Wann wäre `numba` besonders nützlich?;Für rechenintensive Schleifen und numerische Algorithmen, die außerhalb von NumPy oder Pandas nativ in Python geschrieben sind.
Was ist ein Futures-Kontrakt?;Eine Vereinbarung, einen bestimmten Vermögenswert zu einem zukünftigen Zeitpunkt zu einem vereinbarten Preis zu kaufen oder zu verkaufen.
Was ist ein Optionskontrakt?;Gibt dem Inhaber das Recht, aber nicht die Verpflichtung, einen Basiswert zu einem bestimmten Preis (Strike Price) an oder vor einem bestimmten Datum zu kaufen (Call) oder zu verkaufen (Put).
"Was ist ""Vega"" in Bezug auf Optionen?";Ein Sensitivitätsmaß, das angibt, wie stark sich der Optionspreis bei einer Änderung der impliziten Volatilität ändert.
"Was ist die ""implizite Volatilität""?";Die erwartete zukünftige Volatilität eines Vermögenswerts, abgeleitet aus dem Marktpreis einer Option und einem Optionspreismodell.
Was ist der Zweck von `plotly` oder `bokeh` im Vergleich zu Matplotlib/Seaborn?;Interaktive Visualisierungen, die direkt im Webbrowser angezeigt werden können und Zoom-, Pan- und Tooltip-Funktionen bieten.
Wie können `jupyter notebooks` oder `jupyter lab` in den genannten Rollen nützlich sein?;Für interaktive Datenanalyse, Prototyping von Modellen, Sharing von Analysen und Dokumentation von Forschungsergebnissen, da Code, Output und Text kombiniert werden können.
Was ist der Zweck des `pandas-datareader` Pakets?;Eine Bibliothek zum Abrufen von Finanzdaten aus verschiedenen Online-Quellen (z.B. Quandl, FRED, Yahoo Finance).
Wie lädt man Zinsdaten von FRED (Federal Reserve Economic Data) mit `pandas-datareader` herunter?;"`from pandas_datareader import data as pdr;  rate = pdr.DataReader('DFF', 'fred', start='2020-01-01')`"
"Was ist die ""Black-Scholes-Formel"" und wofür wird sie verwendet?";Ein mathematisches Modell zur Preisbestimmung europäischer Optionen auf Nicht-Dividenden-Zahlende Aktien.
"Was ist die ""Gordon Growth Model"" (Dividenden-Abzinsungsmodell) und wofür wird es verwendet?";Ein Modell zur Schätzung des inneren Werts einer Aktie basierend auf zukünftigen Dividenden.
Was ist ein CAPM (Capital Asset Pricing Model) und was sagt es aus?;Ein Modell, das die erwartete Rendite eines Vermögenswerts im Verhältnis zu seinem systematischen Risiko (Beta) und dem erwarteten Marktrisiko bestimmt.
Wie berechnet man Covarianz in NumPy zwischen zwei Arrays `x` und `y`?;`np.cov(x, y)[0, 1]`
Wie berechnet man die Kovarianzmatrix eines DataFrames `df`?;`df.cov()`
Was ist der Zweck der Bibliothek `cvxopt` oder `pulp`?;Bibliotheken für konvexe Optimierung oder lineare Programmierung, nützlich für Portfoliooptimierung, Hedging-Strategien.
"Was ist ein ""Factor Model"" in Quantitative Finance?";Ein Modell, das die Rendite von Vermögenswerten durch Exposition gegenüber verschiedenen Risiko-Faktoren (z.B. Markt, Größe, Wert) erklärt.
Nenne 2-3 gängige Faktor-Modelle.;CAPM, Fama-French 3-Faktor-Modell, Carhart 4-Faktor-Modell.
Was ist der Zweck von `joblib` oder `pickle`?;Zum Speichern und Laden von Python-Objekten (z.B. trainierte Machine-Learning-Modelle) auf die Festplatte.
Wie speichert man ein Python-Objekt `my_object` mit `pickle`?;"`import pickle; with open('object.pkl', 'wb') as f: pickle.dump(my_object, f)`"
Wie lädt man ein Python-Objekt aus einer Datei `object.pkl` mit `pickle`?;`with open('object.pkl', 'rb') as f: loaded_object = pickle.load(f)`
Warum sollte man bei der Verwendung von `pickle` vorsichtig sein?;Sicherheitsprobleme beim Laden von `pickle`-Dateien aus unbekannten Quellen, da sie potenziell bösartigen Code ausführen können.
"Was ist die Bedeutung von ""Feature Engineering"" in Machine Learning für Finanzdaten?";Der Prozess der Erstellung neuer Eingabemerkmale aus bestehenden Daten, um die Leistung eines Machine-Learning-Modells zu verbessern (z.B. gleitende Durchschnitte, Volatilität als Features).
"Was ist die Bedeutung von ""Data Leakage"" in Machine Learning?";Das versehentliche Einschleusen von Informationen aus dem Testset in das Trainingsset, was zu einer unrealistisch guten Modellleistung führen kann.
